 152 209 228 209 2 1 52 0
 228 209 304 209 2 1 52 0
 304 209 380 209 2 1 52 0
 380 209 456 190 2 1 53 0
 456 190 532 171 2 1 53 0
 152 209 190 247 1 1 36 0
 190 247 266 266 1 1 53 0
 266 266 342 266 1 1 52 0
 342 266 418 247 1 1 53 0
 418 247 494 228 1 1 53 0
 494 228 532 171 1 1 46 0
 456 190 494 228 1 1 36 0
 456 190 418 247 1 1 46 0
 380 209 418 247 1 1 36 0
 380 209 342 266 1 1 46 0
 304 209 342 266 1 1 46 0
 304 209 266 266 1 1 46 0
 266 266 228 209 1 1 46 0
 228 209 190 247 1 1 36 0
 266 266 247 342 1 1 53 0
 418 247 399 323 1 1 53 0
 399 323 342 266 1 1 54 0
