 136 204 204 221 2 1 53 0
 204 221 272 238 2 1 53 0
 272 238 340 255 2 1 53 0
 340 255 408 272 2 1 53 0
 408 272 476 272 2 1 52 0
 476 272 544 272 2 1 52 0
 136 204 170 255 1 1 46 0
 170 255 238 272 1 1 53 0
 238 272 306 289 1 1 53 0
 306 289 374 306 1 1 53 0
 374 306 442 306 1 1 52 0
 442 306 510 306 1 1 52 0
 510 306 544 272 1 1 36 0
 510 306 476 272 1 1 36 0
 476 272 442 306 1 1 36 0
 442 306 408 272 1 1 36 0
 374 306 340 255 1 1 46 0
 340 255 306 289 1 1 36 0
 306 289 272 238 1 1 46 0
 272 238 238 272 1 1 36 0
 238 272 204 221 1 1 46 0
 204 221 170 255 1 1 36 0
 306 289 340 340 1 1 46 0
 408 272 374 306 3 1 36 0
 374 306 340 340 3 1 36 0
