 120 180 180 180 2 1 52 0
 180 180 240 180 2 1 52 0
 240 180 300 180 2 1 52 0
 300 180 360 180 2 1 52 0
 360 180 420 180 2 1 52 0
 420 180 480 180 2 1 52 0
 480 180 540 180 2 1 52 0
 120 180 165 225 1 1 54 0
 165 225 210 225 1 1 39 0
 210 225 270 225 1 1 52 0
 270 225 330 225 1 1 52 0
 330 225 390 225 1 1 52 0
 390 225 450 225 1 1 52 0
 450 225 495 225 1 1 39 0
 540 180 495 225 1 1 54 0
 495 225 480 180 1 1 40 0
 480 180 450 225 1 1 46 0
 450 225 420 180 1 1 46 0
 420 180 390 225 1 1 46 0
 390 225 360 180 1 1 46 0
 360 180 330 225 1 1 46 0
 330 225 300 180 1 1 46 0
 300 180 270 225 1 1 46 0
 270 225 240 180 1 1 46 0
 240 180 210 225 1 1 46 0
 210 225 180 180 1 1 46 0
 180 180 165 225 1 1 40 0
 165 225 195 270 1 1 46 0
 195 270 225 330 1 1 58 0
 225 330 240 270 1 1 52 0
 240 270 270 225 1 1 46 0
 210 225 240 270 1 1 46 0
 240 270 195 270 1 1 39 0
 195 270 210 225 1 1 40 0
 390 225 420 270 1 1 46 0
 420 270 435 330 1 1 52 0
 435 330 465 270 1 1 58 0
 465 270 420 270 1 1 39 0
 420 270 450 225 1 1 46 0
 450 225 465 270 1 1 40 0
 465 270 495 225 1 1 46 0
