 104 208 156 195 2 1 53 0
 156 195 208 182 2 1 53 0
 208 182 260 169 2 1 53 0
 260 169 312 169 2 1 52 0
 312 169 364 169 2 1 52 0
 364 169 416 169 2 1 52 0
 416 169 468 169 2 1 52 0
 468 169 520 156 2 1 53 0
 520 156 572 156 2 1 52 0
 104 208 143 234 1 1 46 0
 143 234 195 221 1 1 53 0
 195 221 247 208 1 1 53 0
 260 169 286 130 1 1 46 0
 286 130 234 143 1 1 53 0
 234 143 208 182 1 1 46 0
 234 143 260 169 1 1 36 0
 208 182 247 208 1 1 46 0
 195 221 156 195 1 1 46 0
 156 195 143 234 1 1 41 0
 286 130 312 169 1 1 46 0
 325 130 364 169 1 1 55 0
 325 130 312 169 1 1 41 0
 364 169 403 208 1 1 55 0
 403 208 416 169 1 1 41 0
 403 208 455 208 1 1 52 0
 416 169 455 208 1 1 55 0
 455 208 507 195 1 1 53 0
 507 195 520 156 1 1 41 0
 507 195 546 182 1 1 41 0
 546 182 572 156 1 1 36 0
 546 182 520 156 1 1 36 0
 468 169 507 195 1 1 46 0
 481 273 494 234 1 1 41 0
 494 234 455 208 1 1 46 0
 442 247 494 234 1 1 53 0
 143 234 169 273 1 1 46 0
 169 273 182 325 1 1 53 0
 169 273 195 221 1 1 58 0
 260 169 247 208 3 1 41 0
 403 208 442 247 3 1 55 0
 442 247 468 312 3 1 70 0
 442 247 481 273 1 1 46 0
 481 273 468 312 1 1 41 0
 195 221 208 273 1 1 53 0
 169 273 208 273 1 1 39 0
 208 273 182 325 3 1 58 0
 208 273 247 208 3 1 75 0
 325 130 377 143 1 1 53 0
 377 143 416 169 1 1 46 0
 377 143 364 169 1 1 29 0
 208 182 195 221 3 1 41 0
 286 130 325 130 3 1 39 0
 468 169 455 208 3 1 41 0
 507 195 494 234 1 1 41 0
 455 208 442 247 3 1 41 0
